AccountName,CategoryName,TransactionDate,Amount,Description
Main Checking,Rent,2026-03-01,-1450.0,Monthly rent
Main Checking,Paycheck,2026-03-01,1913.56,Biweekly paycheck
Main Checking,Transportation,2026-03-02,-38.96,Transportation purchase
Main Checking,Subscriptions,2026-03-02,-18.55,Subscriptions purchase
Main Checking,Groceries,2026-03-04,-94.76,Groceries purchase
Main Checking,Entertainment,2026-03-07,-57.64,Entertainment purchase
Main Checking,Transportation,2026-03-07,-46.08,Transportation purchase
Main Checking,Groceries,2026-03-08,-89.47,Groceries purchase
Main Checking,Freelance,2026-03-08,474.32,Freelance payment
Main Checking,Subscriptions,2026-03-09,-17.61,Subscriptions purchase
Main Checking,Subscriptions,2026-03-10,-9.49,Subscriptions purchase
Main Checking,Transportation,2026-03-11,-36.62,Transportation purchase
Main Checking,Dining Out,2026-03-12,-55.55,Dining Out purchase
Main Checking,Entertainment,2026-03-12,-13.55,Entertainment purchase
Main Checking,Groceries,2026-03-13,-49.76,Groceries purchase
Main Checking,Entertainment,2026-03-13,-35.7,Entertainment purchase
Main Checking,Transportation,2026-03-13,-36.76,Transportation purchase
Main Checking,Utilities,2026-03-15,-155.25,Utility bill
Main Checking,Paycheck,2026-03-15,1965.61,Biweekly paycheck
Main Checking,Entertainment,2026-03-16,-48.77,Entertainment purchase
Main Checking,Dining Out,2026-03-17,-37.13,Dining Out purchase
Main Checking,Transportation,2026-03-18,-24.51,Transportation purchase
Main Checking,Transportation,2026-03-19,-59.83,Transportation purchase
Main Checking,Transportation,2026-03-20,-61.82,Transportation purchase
Main Checking,Subscriptions,2026-03-22,-8.01,Subscriptions purchase
Main Checking,Transportation,2026-03-23,-56.01,Transportation purchase
Main Checking,Groceries,2026-03-24,-89.68,Groceries purchase
Main Checking,Subscriptions,2026-03-25,-19.96,Subscriptions purchase
Main Checking,Transportation,2026-03-26,-49.11,Transportation purchase
Main Checking,Groceries,2026-03-27,-43.14,Groceries purchase
Main Checking,Dining Out,2026-03-27,-63.85,Dining Out purchase
Main Checking,Utilities,2026-03-28,-113.72,Utility bill
Main Checking,Paycheck,2026-03-29,2048.82,Biweekly paycheck
Main Checking,Subscriptions,2026-03-30,-17.21,Subscriptions purchase
Main Checking,Dining Out,2026-03-31,-62.21,Dining Out purchase
Main Checking,Rent,2026-04-01,-1450.0,Monthly rent
Main Checking,Dining Out,2026-04-01,-24.98,Dining Out purchase
Main Checking,Groceries,2026-04-02,-54.63,Groceries purchase
Main Checking,Subscriptions,2026-04-02,-23.04,Subscriptions purchase
Main Checking,Subscriptions,2026-04-04,-17.8,Subscriptions purchase
Main Checking,Groceries,2026-04-05,-58.31,Groceries purchase
Main Checking,Groceries,2026-04-06,-113.98,Groceries purchase
Main Checking,Groceries,2026-04-07,-109.8,Groceries purchase
Main Checking,Entertainment,2026-04-08,-20.99,Entertainment purchase
Main Checking,Groceries,2026-04-09,-45.61,Groceries purchase
Main Checking,Freelance,2026-04-09,481.45,Freelance payment
Main Checking,Dining Out,2026-04-11,-22.67,Dining Out purchase
Main Checking,Paycheck,2026-04-12,1985.56,Biweekly paycheck
Main Checking,Transportation,2026-04-12,-76.48,Transportation purchase
Main Checking,Dining Out,2026-04-14,-16.78,Dining Out purchase
Main Checking,Entertainment,2026-04-14,-11.87,Entertainment purchase
Main Checking,Subscriptions,2026-04-14,-17.61,Subscriptions purchase
Main Checking,Utilities,2026-04-15,-177.32,Utility bill
Main Checking,Dining Out,2026-04-16,-19.47,Dining Out purchase
Main Checking,Dining Out,2026-04-17,-35.15,Dining Out purchase
Main Checking,Dining Out,2026-04-20,-57.79,Dining Out purchase
Main Checking,Groceries,2026-04-22,-78.76,Groceries purchase
Main Checking,Entertainment,2026-04-23,-47.76,Entertainment purchase
Main Checking,Dining Out,2026-04-25,-29.94,Dining Out purchase
Main Checking,Transportation,2026-04-25,-60.24,Transportation purchase
Main Checking,Subscriptions,2026-04-25,-8.71,Subscriptions purchase
Main Checking,Paycheck,2026-04-26,2058.51,Biweekly paycheck
Main Checking,Groceries,2026-04-26,-100.06,Groceries purchase
Main Checking,Utilities,2026-04-28,-134.52,Utility bill
Main Checking,Utilities,2026-04-30,-162.1,Utility bill
Main Checking,Groceries,2026-04-30,-97.14,Groceries purchase
Main Checking,Subscriptions,2026-04-30,-21.07,Subscriptions purchase
Main Checking,Rent,2026-05-01,-1450.0,Monthly rent
Main Checking,Dining Out,2026-05-01,-50.54,Dining Out purchase
Main Checking,Groceries,2026-05-03,-91.86,Groceries purchase
Main Checking,Freelance,2026-05-04,301.26,Freelance payment
Main Checking,Entertainment,2026-05-05,-36.63,Entertainment purchase
Main Checking,Transportation,2026-05-05,-46.44,Transportation purchase
Main Checking,Subscriptions,2026-05-05,-18.3,Subscriptions purchase
Main Checking,Groceries,2026-05-06,-68.58,Groceries purchase
Main Checking,Dining Out,2026-05-06,-47.3,Dining Out purchase
Main Checking,Entertainment,2026-05-06,-41.04,Entertainment purchase
Main Checking,Subscriptions,2026-05-07,-24.67,Subscriptions purchase
Main Checking,Entertainment,2026-05-09,-52.38,Entertainment purchase
Main Checking,Transportation,2026-05-09,-43.14,Transportation purchase
Main Checking,Paycheck,2026-05-10,1973.21,Biweekly paycheck
Main Checking,Entertainment,2026-05-10,-29.64,Entertainment purchase
Main Checking,Subscriptions,2026-05-10,-11.07,Subscriptions purchase
Main Checking,Groceries,2026-05-11,-117.95,Groceries purchase
Main Checking,Groceries,2026-05-12,-64.75,Groceries purchase
Main Checking,Entertainment,2026-05-12,-21.38,Entertainment purchase
Main Checking,Transportation,2026-05-14,-22.74,Transportation purchase
Main Checking,Dining Out,2026-05-17,-22.1,Dining Out purchase
Main Checking,Groceries,2026-05-18,-51.92,Groceries purchase
